Attack,AttackIntensity,Distance,Stations,PayloadSize,LoadFactor,MCS,ChannelWidth,GI,Throughput,TxPackets,RxPackets,LostPackets,PacketLossRate,Delay,Jitter
normal,none,1,2,700,1,3,20,800,29.8206,61450,53251,4448,7.23841,893,0
normal,none,1,2,700,1,3,20,3200,25.3266,52234,45226,4350,8.32791,842,0
normal,none,1,2,700,1,3,80,800,122.312,257354,218414,28276,10.9872,715,0
normal,none,1,2,700,1,3,80,3200,104.908,218750,187336,20752,9.48663,806,0
normal,none,1,2,700,1,3,160,800,230.252,514708,411165,92678,18.0059,395,0
normal,none,1,2,700,1,3,160,3200,199.062,437504,355468,71290,16.2947,458,0
normal,none,1,2,700,1,7,20,800,74.5461,153624,133118,9860,6.41827,998,0
normal,none,1,2,700,1,7,20,3200,63.3606,130582,113144,6743,5.16381,1067,0
normal,none,1,2,700,1,7,80,800,280.971,643378,501734,130772,20.3258,321,0
normal,none,1,2,700,1,7,80,3200,243.792,546882,435343,100683,18.4104,373,0
normal,none,1,2,700,1,7,160,800,494.689,1286754,883373,392242,30.4831,165,0
normal,none,1,2,700,1,7,160,3200,436.143,1093734,778827,303853,27.7813,193,0
normal,none,1,2,700,1,11,20,800,121.454,256040,216882,28466,11.1178,720,0
normal,none,1,2,700,1,11,20,3200,104.161,217636,186002,20950,9.62616,812,0
normal,none,1,2,700,1,11,80,800,427.205,1072330,762866,298412,27.8284,198,0
normal,none,1,2,700,1,11,80,3200,374.727,911454,669156,231334,25.3808,231,0
normal,none,1,2,700,1,11,160,800,708.39,2144544,1264982,868156,40.4821,100,0
normal,none,1,2,700,1,11,160,3200,634.781,1822988,1133537,678138,37.1993,118,0
normal,none,20,2,700,1,3,20,800,29.8206,61450,53251,4448,7.23841,893,0
normal,none,20,2,700,1,3,20,3200,25.3266,52234,45226,4350,8.32791,842,0
normal,none,20,2,700,1,3,80,800,122.312,257354,218414,28276,10.9872,715,0
normal,none,20,2,700,1,3,80,3200,104.908,218750,187336,20752,9.48663,806,0
normal,none,20,2,700,1,3,160,800,230.252,514708,411165,92678,18.0059,395,0
normal,none,20,2,700,1,3,160,3200,199.062,437504,355468,71290,16.2947,458,0
normal,none,20,2,700,1,7,20,800,74.5461,153624,133118,9860,6.41827,998,0
normal,none,20,2,700,1,7,20,3200,63.3606,130582,113144,6743,5.16381,1067,0
normal,none,20,2,700,1,7,80,800,142.3,643378,254107,375533,58.369,362,0
normal,none,20,2,700,1,7,80,3200,123.956,546882,221350,311166,56.8982,422,0
normal,none,20,2,700,1,7,160,800,360.143,1286754,643113,1,7.77149e-05,0,0
normal,none,20,2,700,1,7,160,3200,306.121,1093734,546645,1,9.14299e-05,0,0
normal,none,20,2,700,1,11,20,800,71.6632,256040,127970,1,0.000390564,0,0
normal,none,20,2,700,1,11,20,3200,60.914,217636,108775,1,0.000459483,0,0
normal,none,20,2,700,1,11,80,800,300.131,1072330,535949,1,9.32549e-05,0,0
normal,none,20,2,700,1,11,80,3200,255.105,911454,455544,1,0.000109715,0,0
normal,none,20,2,700,1,11,160,800,600.222,2144544,1071825,1,4.663e-05,0,0
normal,none,20,2,700,1,11,160,3200,510.231,1822988,911127,1,5.4855e-05,0,0
normal,none,1,10,700,1,3,20,800,29.5534,61450,52774,6753,10.9894,1184,30
normal,none,1,10,700,1,3,20,3200,25.0975,52240,44817,5711,10.9322,1263,32
normal,none,1,10,700,1,3,80,800,122.122,257360,218075,26728,10.3855,3195,0
normal,none,1,10,700,1,3,80,3200,104.728,218750,187014,23171,10.5925,2922,0
normal,none,1,10,700,1,3,160,800,230.004,514710,410722,87727,17.044,1906,0
normal,none,1,10,700,1,3,160,3200,198.822,437510,355039,67057,15.327,2189,0
normal,none,1,10,700,1,7,20,800,74.4066,153630,132869,17421,11.3396,1834,10
normal,none,1,10,700,1,7,20,3200,63.2419,130590,112932,14234,10.8998,1602,10
normal,none,1,10,700,1,7,80,800,280.663,643390,501184,124598,19.3659,1566,0
normal,none,1,10,700,1,7,80,3200,243.529,546880,434874,95447,17.453,1808,0
normal,none,1,10,700,1,7,160,800,494.196,1286770,882492,379679,29.5064,828,0
normal,none,1,10,700,1,7,160,3200,435.625,1093750,777902,293315,26.8174,970,0
normal,none,1,10,700,1,11,20,800,121.22,256040,216465,27029,10.5566,3231,0
normal,none,1,10,700,1,11,20,3200,103.995,217640,185705,23193,10.6566,2989,1
normal,none,1,10,700,1,11,80,800,426.787,1072310,762119,287930,26.8514,988,0
normal,none,1,10,700,1,11,80,3200,374.352,911470,668485,222429,24.4033,1149,0
normal,none,1,10,700,1,11,160,800,707.689,2144590,1263730,847116,39.5001,507,0
normal,none,1,10,700,1,11,160,3200,634.15,1822930,1132410,660233,36.2182,593,0
normal,none,20,10,700,1,3,20,800,29.5534,61450,52774,6753,10.9894,1184,30
normal,none,20,10,700,1,3,20,3200,25.0975,52240,44817,5711,10.9322,1263,32
normal,none,20,10,700,1,3,80,800,122.122,257360,218075,26728,10.3855,3195,0
normal,none,20,10,700,1,3,80,3200,104.728,218750,187014,23171,10.5925,2922,0
normal,none,20,10,700,1,3,160,800,230.004,514710,410722,87727,17.044,1906,0
normal,none,20,10,700,1,3,160,3200,198.822,437510,355039,67057,15.327,2189,0
normal,none,20,10,700,1,7,20,800,74.4066,153630,132869,17421,11.3396,1834,10
normal,none,20,10,700,1,7,20,3200,63.2419,130590,112932,14234,10.8998,1602,10
normal,none,20,10,700,1,7,80,800,116.477,643390,207994,423734,65.8596,1887,0
normal,none,20,10,700,1,7,80,3200,102.523,546880,183077,352107,64.3847,2195,10
normal,none,20,10,700,1,7,160,800,352.838,1286770,630067,5,0.00038857,5,0
normal,none,20,10,700,1,7,160,3200,305.96,1093750,546358,5,0.000457143,5,0
normal,none,20,10,700,1,11,20,800,70.2134,256040,125381,5,0.00195282,5,0
normal,none,20,10,700,1,11,20,3200,59.6842,217640,106579,5,0.00229737,5,0
normal,none,20,10,700,1,11,80,800,294.033,1072310,525059,5,0.000466283,5,0
normal,none,20,10,700,1,11,80,3200,249.931,911470,446305,5,0.000548564,5,0
normal,none,20,10,700,1,11,160,800,588.045,2144590,1050081,5,0.000233145,5,0
normal,none,20,10,700,1,11,160,3200,509.957,1822930,910638,6,0.00032914,5,0
normal,none,1,20,700,1,3,20,800,29.7231,61460,53077,7029,11.4367,2196,122
normal,none,1,20,700,1,3,20,3200,25.2409,52240,45073,6224,11.9142,2568,141
normal,none,1,20,700,1,3,80,800,116.35,257360,207768,45988,17.8691,5479,20
normal,none,1,20,700,1,3,80,3200,100.467,218760,179405,31792,14.5328,3094,37
normal,none,1,20,700,1,3,160,800,210.888,514720,376586,124300,24.1491,4016,1
normal,none,1,20,700,1,3,160,3200,184.257,437500,329030,95114,21.7403,4638,20
normal,none,1,20,700,1,7,20,800,72.4814,153640,129431,20923,13.6182,1641,42
normal,none,1,20,700,1,7,20,3200,62.0351,130600,110777,16988,13.0077,1913,60
normal,none,1,20,700,1,7,80,800,251.852,643400,449736,179022,27.8244,3276,0
normal,none,1,20,700,1,7,80,3200,221.268,546880,395122,137694,25.1781,3802,0
normal,none,1,20,700,1,7,160,800,417.45,1286780,745446,490644,38.1296,1729,0
normal,none,1,20,700,1,7,160,3200,372.836,1093760,665779,394219,36.0426,1993,0
normal,none,1,20,700,1,11,20,800,116.184,256040,207471,40854,15.9561,4246,21
normal,none,1,20,700,1,11,20,3200,100.214,217640,178954,31410,14.4321,3008,40
normal,none,1,20,700,1,11,80,800,368.183,1072320,657469,381539,35.5807,2033,0
normal,none,1,20,700,1,11,80,3200,327.997,911460,585709,300410,32.9592,2370,0
normal,none,1,20,700,1,11,160,800,565.591,2144620,1009984,1036040,48.3088,1072,0
normal,none,1,20,700,1,11,160,3200,515.454,1822940,920453,826137,45.3189,1246,0
normal,none,20,20,700,1,3,20,800,29.7231,61460,53077,7029,11.4367,2196,122
normal,none,20,20,700,1,3,20,3200,25.2409,52240,45073,6224,11.9142,2568,141
normal,none,20,20,700,1,3,80,800,116.35,257360,207768,45988,17.8691,5479,20
normal,none,20,20,700,1,3,80,3200,100.467,218760,179405,31792,14.5328,3094,37
normal,none,20,20,700,1,3,160,800,210.888,514720,376586,124300,24.1491,4016,1
normal,none,20,20,700,1,3,160,3200,184.257,437500,329030,95114,21.7403,4638,20
normal,none,20,20,700,1,7,20,800,72.4814,153640,129431,20923,13.6182,1641,42
normal,none,20,20,700,1,7,20,3200,62.0351,130600,110777,16988,13.0077,1913,60
normal,none,20,20,700,1,7,80,800,91.3942,643400,163204,464279,72.1602,3937,40
normal,none,20,20,700,1,7,80,3200,83.1936,546880,148560,386162,70.6118,4543,40
normal,none,20,20,700,1,7,160,800,356.238,1286780,636140,10,0.000777134,20,0
normal,none,20,20,700,1,7,160,3200,302.801,1093760,540716,10,0.000914277,21,0
normal,none,20,20,700,1,11,20,800,70.8943,256040,126597,10,0.00390564,25,10
normal,none,20,20,700,1,11,20,3200,59.0414,217640,105431,10,0.00459474,23,10
normal,none,20,20,700,1,11,80,800,299.82,1072320,535392,10,0.000932557,20,0
normal,none,20,20,700,1,11,80,3200,247.185,911460,441401,10,0.00109714,23,0
normal,none,20,20,700,1,11,160,800,593.722,2144620,1060218,18,0.00083931,20,0
normal,none,20,20,700,1,11,160,3200,504.64,1822940,901143,16,0.000877703,20,0
dos,low,1,2,700,1,3,20,800,29.8077,240021,53228,176052,73.3486,2391,0
dos,low,1,2,700,1,3,20,3200,25.3154,230805,45206,174841,75.7527,2716,0
dos,low,1,2,700,1,3,80,800,122.332,435925,218450,206718,47.4205,757,0
dos,low,1,2,700,1,3,80,3200,104.924,397321,187365,199230,50.1433,856,0
dos,low,1,2,700,1,3,160,800,230.301,693279,411251,271239,39.1241,474,0
dos,low,1,2,700,1,3,160,3200,199.076,616075,355493,249799,40.5468,525,0
dos,low,1,2,700,1,7,20,800,74.5623,332195,133147,188282,56.6782,1129,0
dos,low,1,2,700,1,7,20,3200,63.3735,309153,113167,185213,59.9098,1288,0
dos,low,1,2,700,1,7,80,800,281.02,821949,501821,309293,37.6292,408,0
dos,low,1,2,700,1,7,80,3200,243.84,725453,435428,279170,38.4822,457,0
dos,low,1,2,700,1,7,160,800,494.761,1465325,883502,570812,38.9546,171,0
dos,low,1,2,700,1,7,160,3200,436.21,1272305,778946,482426,37.9175,200,0
dos,low,1,2,700,1,11,20,800,121.47,434611,216910,206980,47.6242,760,0
dos,low,1,2,700,1,11,20,3200,104.182,396207,186039,199419,50.332,858,0
dos,low,1,2,700,1,11,80,800,427.264,1250901,762971,476986,38.1314,204,0
dos,low,1,2,700,1,11,80,3200,374.782,1090025,669254,409848,37.5999,239,0
dos,low,1,2,700,1,11,160,800,708.463,2323115,1265113,1046784,45.0595,104,0
dos,low,1,2,700,1,11,160,3200,634.864,2001559,1133686,856704,42.8018,122,0
dos,low,20,2,700,1,3,20,800,29.8077,240021,53228,176052,73.3486,2391,0
dos,low,20,2,700,1,3,20,3200,25.3154,230805,45206,174841,75.7527,2716,0
